id,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
44711393,100%,25%,f,3,6,t,t,Roslindale,42.28574,-71.13203,Entire loft,Entire home/apt,2,1,0,2,$72.00 ,1,365,t,0,22,52,326,0,0,0,61,0,0,0,,,,,,,,f,3,3,0,0,
44740904,100%,96%,f,5084,5865,t,t,South Boston Waterfront,42.34906,-71.04471,Entire rental unit,Entire home/apt,2,1,1,1,$324.00 ,32,1125,t,0,1,1,263,0,0,0,1,0,0,0,,,,,,,,t,343,343,0,0,
44776954,100%,96%,f,5084,5865,t,t,South Boston Waterfront,42.34906,-71.04471,Entire rental unit,Entire home/apt,2,1,1,1,$307.00 ,32,1125,t,6,6,6,272,0,0,0,7,0,0,0,,,,,,,,t,343,343,0,0,
44776967,100%,96%,f,5084,5865,t,t,South Boston Waterfront,42.34906,-71.04471,Entire rental unit,Entire home/apt,2,1,1,1,$327.00 ,32,1125,t,0,0,0,234,0,0,0,0,0,0,0,,,,,,,,t,343,343,0,0,
44820346,100%,100%,f,3,7,t,t,Dorchester,42.28658,-71.05386,Private room in rental unit,Private room,2,0,1,0,$78.00 ,29,1125,t,30,60,90,269,4,0,0,99,0,0,0,5,5,5,5,5,5,5,t,3,0,3,0,0.07
44821182,100%,100%,f,3,7,t,t,Dorchester,42.28583,-71.05558,Private room in rental unit,Private room,2,1,1,1,$46.00 ,29,1125,t,0,0,3,278,18,2,0,12,2,116,5336,4.72,4.78,4.89,5,4.94,4.5,4.72,t,3,0,3,0,0.29
44906627,100%,74%,t,4,4,t,t,South End,42.3423,-71.07443,Entire condo,Entire home/apt,2,1,1,1,$150.00 ,29,1125,t,5,20,49,49,13,4,0,49,3,232,34800,5,4.85,4.92,4.92,4.92,4.92,4.77,f,4,4,0,0,0.26
45019855,100%,100%,f,79,112,t,t,Roxbury,42.32865,-71.09197,Private room in serviced apartment,Private room,1,1.5,1,1,$78.00 ,30,1125,t,13,43,73,347,5,0,0,82,1,0,0,4.4,4.8,4,4.8,4.8,4.8,4,f,57,27,30,0,0.1
45028281,100%,74%,t,4,4,t,t,Jamaica Plain,42.31768,-71.10568,Entire condo,Entire home/apt,2,,1,,,29,1125,t,0,0,0,1,17,4,1,1,5,232,,4.71,4.82,4.76,4.94,4.65,5,4.47,f,4,4,0,0,0.41
45069092,80%,100%,t,2,2,t,t,Jamaica Plain,42.31677,-71.11427,Entire home,Entire home/apt,5,1,2,2,$306.00 ,2,1125,t,0,0,0,191,72,13,0,0,14,78,23868,4.86,4.86,4.93,4.99,4.96,4.88,4.54,f,2,2,0,0,1.17
45095953,100%,96%,f,5084,5865,t,t,Downtown,42.3522052,-71.0644228,Entire rental unit,Entire home/apt,2,1,0,1,$257.00 ,32,1125,t,0,0,0,61,0,0,0,0,0,0,0,,,,,,,,t,343,343,0,0,
